Issue,Subject,Company,Response,Product Area,Status,Request Type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Thank you for reaching out. Because this involves account access, we're routing your request to a human agent who can verify your identity and help you regain access. They will follow up with you shortly.",conversation_management,Escalated,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for reaching out. We don't have a definitive answer for this in our knowledge base, so we're routing your request to a human agent who will follow up shortly.",screen,Escalated,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"Thank you for reaching out. Because this involves a possible unauthorized charge, we're routing your request to a human agent. If your card may have been compromised, please also contact your issuing bank directly using the number on the back of your card.",general_support,Escalated,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Hi, 

To address the issue with your mock interviews stopping in between, I recommend checking the banner to confirm available mock interview attempts and purchasing additional credits if needed [#4]. If you are not satisfied with your mock interview, you can contact help@hackerrank.com for a refund review [#3].",screen,Replied,product_issue
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"To resolve the issue with your payment, please try refreshing the page and retrying the payment [#3]. If any amount was deducted incorrectly, it will be refunded within 5–10 business days [#3]. If the issue persists, contact support@hackerrank.com and include your order ID: cs_live_abcdefgh [#4].",screen,Replied,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thank you for reaching out. We don't have a definitive answer for this in our knowledge base, so we're routing your request to a human agent who will follow up shortly.",screen,Escalated,feature_request
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thank you for reaching out. We want to make sure we give you an accurate answer, so a human agent is going to take this one and follow up with you shortly.",screen,Escalated,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If none of the submissions across any challenges are working on the HackerRank website, try the following steps: 1) Close the challenge window and reopen it using the same challenge link [#1]. 2) Open the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge, for full compatibility [#1]. 3) Ensure your internet connection is stable [#1]. If you are still facing issues, contact HackerRank support at help@hackerrank.com or support@hackerrank.com [#1][#3].",screen,Replied,product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the compatibility check issue with Zoom connectivity, try verifying your system compatibility by opening the HackerRank Compatibility link and reviewing the results to confirm that all parameters are configured correctly [#4]. If you encounter issues, contact support@hackerrank.com and include a screenshot of the error message [#4]. Ensure your internet connection is stable, as a seamless connection is essential for a smooth interview experience [#5].",screen,Replied,product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Hi, 

To reschedule your HackerRank assessment, you can try the self-service option by following the interview rescheduling process: 1) Log in to your HackerRank for Work account, 2) Go to the Interviews > Interview List, 3) Click the interview you want to reschedule, 4) Update the date and time, and 5) Click Save and Send Email [#1]. If you need assistance, you can contact HackerRank Support by submitting a request or emailing support@hackerrank.com [#2].",screen,Replied,product_issue
